Pressure,CO2 Weld Flow,Feed,Primary Weld Current,Wire Consumed,Secondary Weld Voltage
0.02,15.52,0.16,173.4,3.93,17.63
0.02,15.48,0.16,176.41,3.93,17.4
0.02,15.46,0.17,175.64,4.1,17.4
0.02,15.46,0.17,178.31,4.1,17.21
0.02,15.48,0.16,171.76,4.1,17.62
0.02,15.46,0.16,173.71,4.1,17.38
0.02,15.49,0.16,175.0,4.1,17.47
0.02,15.46,0.16,173.0,4.1,17.63
0.02,15.44,0.16,183.8,4.1,17.21
0.02,15.42,0.16,168.05,4.1,17.97
0.02,15.39,0.16,174.3,4.1,17.58
0.02,15.41,0.16,188.38,4.1,17.1
0.02,15.38,0.16,174.25,4.1,17.6
0.02,15.38,0.16,171.11,4.1,17.44
